MC161_DMSO_10uM,,"MC71"/5:MC71,,"Focused Graph"-0.002:MC61_DMSO_10uM,,"Focused Graph"-0.0025:MC169_DMSO_10uM1,,"MC67_DMSO_10uM"+0.001:MC67_DMSO_10uM,,"MC147_DMSO_10uM"+0.0017:MC147_DMSO_10uM,,"MC152_DMSO_10uM"-0.0011:MC152_DMSO_10uM,,"MC155_DMSO_10uM"-0.0015:MC155_DMSO_10uM,,MC71_DMSO_10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
741.0078735,0.001260428922,641.0004883,0.0003463345347,741.0078735,-0.0005696997978,741.0078735,0.0006149495021,741.0078735,0.0007321111625,741.0078735,0.001248369459,741.0078735,0.001058368245,741.0078735,-0.001048728591,740.9882202,0.001033665147,
740.0165405,0.0002087428293,640.0126953,0.0003734717029,740.0165405,-0.0008601442678,740.0165405,-0.0006062531611,740.0165405,-0.0004328553332,740.0165405,-0.00043190422,740.0165405,0.0002690382535,740.0165405,-0.0006798316026,739.9968872,-9.96495437E-005,
738.9893799,0.0009113910492,638.9879761,0.0003678408102,738.9893799,-0.0003315809881,738.9893799,0.0003255391493,738.9893799,0.0009376711096,738.9893799,0.001420418033,738.9893799,0.001061828109,738.9893799,-0.0006645557005,739.005249,0.001488713897,
737.9973755,0.0006075801793,637.9995728,0.0003871526569,737.9973755,-0.00137165573,737.9973755,-0.0002732852008,737.9973755,-0.0003840891877,737.9973755,0.0002499617403,737.9973755,0.0001902594231,737.9973755,-0.001488066395,738.0132446,0.0001651320927,
737.0049438,0.0002197756985,637.0109863,0.0004452284484,737.0049438,-0.0006927865325,737.0049438,-0.0004138173535,737.0049438,0.000363051251,737.0049438,-0.0001806793734,737.0049438,0.0002266869415,737.0049438,-0.0008669116069,736.9854736,0.001260896213,
736.0122681,0.001185615198,635.9854126,0.000410016306,736.0122681,-0.0009451871738,736.0122681,0.0003011003137,736.0122681,0.0009012304363,736.0122681,0.0005937495735,736.0122681,0.0003845059546,736.0122681,-0.0008447722066,735.9926758,0.001058964757,
734.9836426,0.0006893206155,634.9961548,0.0004061255022,734.9836426,-0.0003864330938,734.9836426,0.0002290424891,734.9836426,0.0004052373115,734.9836426,0.0004431410925,734.9836426,0.0004983156687,734.9836426,-0.0003682416864,734.9995728,0.001036441536,
733.9901733,9.335483628E-005,634.0067139,0.0004262991133,733.9901733,-0.0007366375066,733.9901733,-0.0005147787742,733.9901733,0.0001331163803,733.9901733,-3.456708509E-005,733.9901733,8.340890054E-005,733.9901733,-0.001213218318,734.0061646,-1.278748005E-005,
732.99646,0.0007683276199,633.0169067,0.0004317048588,732.99646,-0.0007106494159,732.99646,0.000106420368,732.99646,0.0003319830284,732.99646,0.0006216878537,732.99646,0.0006722180406,732.99646,-0.0003929227823,733.0123901,0.0009589422843,
732.0022583,0.001021833159,631.9901733,0.0003679968067,732.0022583,-0.0009991056286,732.0022583,-8.478853852E-005,732.0022583,-0.0001571646426,732.0022583,-0.0001321698073,732.0022583,0.0002614298137,732.0022583,-0.000827350188,731.9827881,0.000451245578,
